kf,m1*/m1,m2*/m2,sms/ms,smw/mw
1.0000000E-01,  9.9984098E-01,  9.9984120E-01,  1.0000079E+00,  1.0000000E+00
2.0000000E-01,  9.9872891E-01,  9.9873066E-01,  1.0000628E+00,  1.0000001E+00
3.0000000E-01,  9.9571773E-01,  9.9572363E-01,  1.0002119E+00,  1.0000015E+00
4.0000000E-01,  9.8988118E-01,  9.8989511E-01,  1.0005023E+00,  1.0000085E+00
5.0000000E-01,  9.8033235E-01,  9.8035943E-01,  1.0009812E+00,  1.0000322E+00
6.0000000E-01,  9.6625035E-01,  9.6629681E-01,  1.0016955E+00,  1.0000951E+00
7.0000000E-01,  9.4691361E-01,  9.4698668E-01,  1.0026910E+00,  1.0002367E+00
8.0000000E-01,  9.2173956E-01,  9.2184729E-01,  1.0040099E+00,  1.0005184E+00
9.0000000E-01,  8.9032950E-01,  8.9048047E-01,  1.0056857E+00,  1.0010277E+00
1.0000000E+00,  8.5251709E-01,  8.5272011E-01,  1.0077356E+00,  1.0018802E+00
1.1000000E+00,  8.0841886E-01,  8.0868259E-01,  1.0101474E+00,  1.0032166E+00
1.2000000E+00,  7.5848556E-01,  7.5881803E-01,  1.0128623E+00,  1.0051940E+00
1.3000000E+00,  7.0355403E-01,  7.0396211E-01,  1.0157508E+00,  1.0079693E+00
1.4000000E+00,  6.4489686E-01,  6.4538569E-01,  1.0185823E+00,  1.0116728E+00
1.5000000E+00,  5.8425250E-01,  5.8482481E-01,  1.0209889E+00,  1.0163737E+00
1.6000000E+00,  5.2378158E-01,  5.2443714E-01,  1.0224312E+00,  1.0220461E+00
1.7000000E+00,  4.6585464E-01,  4.6658993E-01,  1.0221849E+00,  1.0285558E+00
1.8000000E+00,  4.1261815E-01,  4.1342673E-01,  1.0193754E+00,  1.0356921E+00
1.9000000E+00,  3.6549159E-01,  3.6636505E-01,  1.0130594E+00,  1.0432470E+00
2.0000000E+00,  3.2492345E-01,  3.2585275E-01,  1.0023050E+00,  1.0510944E+00
2.1000000E+00,  2.9055777E-01,  2.9153437E-01,  9.8620758E-01,  1.0592182E+00
2.2000000E+00,  2.6161648E-01,  2.6263293E-01,  9.6384058E-01,  1.0676882E+00
2.3000000E+00,  2.3723156E-01,  2.3828157E-01,  9.3416957E-01,  1.0766168E+00
2.4000000E+00,  2.1662702E-01,  2.1770540E-01,  8.9594494E-01,  1.0861236E+00
2.5000000E+00,  1.9918203E-01,  2.0028442E-01,  8.4754781E-01,  1.0963136E+00
2.6000000E+00,  1.8443208E-01,  1.8555478E-01,  7.8671602E-01,  1.1072671E+00
2.7000000E+00,  1.7204707E-01,  1.7318682E-01,  7.0996818E-01,  1.1190360E+00
2.8000000E+00,  1.6180479E-01,  1.6295863E-01,  6.1116463E-01,  1.1316449E+00
2.9000000E+00,  1.5356686E-01,  1.5473204E-01,  4.7677409E-01,  1.1450938E+00
3.0000000E+00,  1.4725914E-01,  1.4843301E-01,  2.5614319E-01,  1.1593622E+00
